V(m³/mol)	P(Pa)
0.0248842	100000
0.00989791	250505
0.00616071	401010
0.00446317	551515
0.00349346	702020
0.0028661	852524
0.00242698	1.00303e+06
0.00210242	1.15353e+06
0.00185275	1.30404e+06
0.00165473	1.45455e+06
0.00149383	1.60505e+06
0.00136051	1.75555e+06
0.00124822	1.90606e+06
0.00115235	2.05657e+06
0.00106955	2.20706e+06
0.0009973	2.35758e+06
0.00093372	2.50807e+06
0.00087732	2.65859e+06
0.00082696	2.80909e+06
0.00078171	2.9596e+06
0.00074083	3.11011e+06
0.00070372	3.26061e+06
0.00066988	3.4111e+06
0.00063889	3.56161e+06
0.00061041	3.7121e+06
0.00058414	3.86261e+06
0.00055983	4.01316e+06
0.00053728	4.16366e+06
0.0005163	4.31415e+06
0.00049673	4.46465e+06
0.00047843	4.61518e+06
0.00046129	4.76565e+06
0.00044519	4.91618e+06
0.00043005	5.06666e+06
0.00041578	5.21715e+06
0.00040231	5.36764e+06
0.00038957	5.51818e+06
0.00037751	5.66867e+06
0.00036607	5.81922e+06
0.00035521	5.96974e+06
0.00034489	6.12018e+06
0.00033506	6.27074e+06
0.0003257	6.42118e+06
0.00031677	6.57165e+06
0.00030824	6.72217e+06
0.00030009	6.87265e+06
0.00029229	7.02319e+06
0.00028482	7.17379e+06
0.00027767	7.32423e+06
0.00027081	7.47475e+06
0.00026423	7.62522e+06
0.00025791	7.77575e+06
0.00025184	7.92622e+06
0.000246	8.07682e+06
0.00024039	8.22724e+06
0.00023499	8.37769e+06
0.00022979	8.52819e+06
0.00022478	8.67874e+06
0.00021995	8.82939e+06
0.0002153	8.97988e+06
0.00021082	9.13026e+06
0.00020649	9.28098e+06
0.00020232	9.43146e+06
0.0001983	9.58181e+06
0.00019442	9.73219e+06
0.00019067	9.88279e+06
0.00018705	1.00334e+07
0.00018356	1.01838e+07
0.00018019	1.03343e+07
0.00017693	1.0485e+07
0.00017379	1.06354e+07
0.00017076	1.07857e+07
0.00016783	1.09363e+07
0.000165	1.10869e+07
0.00016227	1.12374e+07
0.00015963	1.13881e+07
0.00015709	1.15384e+07
0.00015463	1.16891e+07
0.00015226	1.18395e+07
0.00014997	1.19901e+07
0.00014776	1.21407e+07
0.00014563	1.22911e+07
0.00014358	1.2441e+07
0.00014159	1.25919e+07
0.00013967	1.27426e+07
0.00013782	1.28932e+07
0.00013604	1.30432e+07
0.00013431	1.31943e+07
0.00013265	1.33446e+07
0.00013105	1.34945e+07
0.0001295	1.3645e+07
0.000128	1.37959e+07
0.00012655	1.39469e+07
0.00012516	1.40968e+07
0.00012381	1.42475e+07
0.00012251	1.43977e+07
0.00012125	1.45483e+07
0.00012003	1.46992e+07
0.00011886	1.48489e+07
0.00011772	1.49998e+07
